reg,opus,epoch,val_loss,val_acc,loss,acc
0.0,127,0,9241.397900777274,278.3787330316742,9055.978452442387,265.6990295054435
0.0,127,1,9258.053534539686,278.3787330316742,8806.50214298119,276.5193519738346
0.0,127,2,9291.890427037924,278.3787330316742,8796.553069927235,279.2673703785055
0.0,127,3,9262.175577229289,278.3787330316742,8777.541934006455,280.98488187758574
0.0,127,4,9295.774153526012,278.3787330316742,8777.240922334016,283.5611491319646
0.0,127,5,9299.917743439046,278.3787330316742,8769.501398080998,282.01538877933734
0.0,130,0,9207.302171843392,378.6830357142857,10190.271612461964,294.3828341613058
0.0,130,1,9264.4115286214,378.6830357142857,9911.49016415143,303.56417665736427
0.0,130,2,9245.326354673929,378.6830357142857,9893.600694958834,310.1360849708478
0.0,130,3,9272.902298825127,378.6830357142857,9888.578190451239,307.9132336288024
0.0,130,4,9274.42643727575,378.6830357142857,9884.918184732209,309.6528564176657
0.0,130,5,9285.08505310331,378.6830357142857,9939.033473095893,308.9763364528597
0.0,131,0,10229.58266238636,337.4471417683802,10496.032690303426,307.16877621120636
0.0,131,1,10329.453445860625,337.4471417683802,10227.63321832199,319.0293506851278
0.0,131,2,10365.85503170242,337.4471417683802,10208.701325331256,324.05501782985226
0.0,131,3,10364.170502378498,336.4428347989205,10188.536961564656,324.3565578693346
0.0,131,4,10389.26746047374,337.4471417683802,10229.17469722541,327.4724714970718
0.0,131,5,10348.256368878865,348.4945184773325,10127.399486027387,336.11661900025666
0.0,131,6,10269.442890598702,364.56342992882594,10071.660959870938,344.5597398062097
0.0,131,7,10252.182402796547,365.56773695814695,10024.15662364048,351.4951604836481
0.0,131,8,10291.045942714463,356.5289741955966,9995.411050544273,355.31466750788735
0.0,131,9,10213.32555777315,382.6409554389614,9951.434149737128,364.3608683875628
0.0,131,10,10189.332319126526,377.61942060662847,9903.343238896667,372.7034758624985
0.0,131,11,10073.029645445204,391.67971810423705,9783.464374049168,392.0020377026441
0.0,131,12,9987.349532318003,411.76585751587857,9679.347036059567,404.56620557231867
0.0,131,13,9956.846349203875,395.6969460045237,9617.53206703958,413.51189310450155
0.0,131,14,9953.364377664044,407.7486296754532,9530.98686757976,428.1868411876465
0.0,131,15,9852.495456292654,433.8606108814045,9398.449744747706,450.7018300090129
0.0,131,16,9806.888532237142,425.8261550658659,9270.517857966834,469.598338503372
0.0,131,17,9857.037951802498,449.9295223927594,9149.949819054544,495.83232103668246
0.0,131,18,9826.585222237167,463.9898200400215,9044.685701816321,508.69802892487064
0.0,131,19,9806.215568910657,484.07595929452685,8940.60450500472,518.2467965090585
0.0,131,20,9882.026547905796,493.114722154352,8835.282268137518,540.1587052993887
0.0,131,21,9879.925663187436,471.0199686915511,8732.53477401277,558.8541870867806
0.0,131,22,9933.650496439159,461.98120596641394,8630.16003406666,573.2275951296941
0.0,131,23,9877.057599108388,478.0501176124569,8536.460459791357,589.5107567120616
0.0,131,24,10006.765677983067,481.0630385208358,8409.78473656776,607.2011050739534
0.0,131,25,10188.368695374102,434.86491785086423,8322.810078532986,620.1673263088852
0.0,132,0,11074.218558690729,277.25247548702527,9842.601563274953,292.49619868928306
0.0,132,1,11257.997275956788,277.25247548702527,9570.792504360841,302.36948808955793
0.0,132,2,11349.608371399416,277.25247548702527,9552.913076926581,314.0465515228302
0.0,132,3,11391.99903460619,277.25247548702527,9549.76753857848,313.95161604776297
0.0,132,4,11458.98580256075,277.25247548702527,9547.864541966917,309.86939061987096
0.0,132,5,11462.590626309024,277.25247548702527,9533.685244627874,310.3440679952073
0.0,135,0,6404.843727222222,236.7198934261591,6168.261194322233,179.09303726006775
0.0,135,1,6479.078986990873,236.7198934261591,6007.1236585434,185.7598795642665
0.0,135,2,6470.023564158165,236.7198934261591,5994.197634203003,190.09047798353635
0.0,135,3,6457.914972389371,236.7198934261591,5983.59607053196,190.43236733836972
0.0,135,4,6408.416839551702,237.72721212210055,5950.5282806329005,197.4410989838163
0.0,135,5,6304.060137219216,243.77112429774925,5830.692681338692,221.316371849647
0.0,135,6,6264.842539373906,243.77112429774925,5695.8495214001405,239.94934136243884
0.0,135,7,6237.586933899307,240.74916826996576,5611.931327624998,245.19164471293038
0.0,135,8,6222.238716983668,269.96141036220655,5504.597718798364,264.62235604064733
0.0,135,9,6231.32168104517,257.8735860109091,5416.288928339596,287.87083176599776
0.0,135,10,6228.394925045159,250.8223551693394,5329.380588995051,300.4637561176184
0.0,135,11,6257.331698020775,259.88822334275113,5250.299595739325,317.5582235621047
0.0,135,12,6269.4054074833075,268.9540916062242,5169.369851470146,330.0941663547279
0.0,135,13,6284.297650232842,276.0053224778144,5085.4972312688915,344.2825743336515
0.0,135,14,6292.141277010888,261.9028607646545,5015.057976448638,351.8611215665247
0.0,135,15,6310.186179064943,271.97604775408945,4931.865814114802,367.36010538285893
0.0,135,16,6410.495995664946,258.880904736871,4852.053040376246,375.79337598965463
0.0,135,17,6463.1211741305315,271.97604772406896,4759.577626178478,388.671208136262
0.0,135,18,6537.378020994678,247.8003990214742,4680.862307128145,406.3924727144359
0.0,18,0,32622.633913083184,1217.5756861970385,35499.14988544252,989.1493055555557
0.0,18,1,32772.76273341914,1217.5756861970385,34302.38779717022,986.9791666666667
0.0,18,2,32919.154151952906,1217.5756861970385,34259.78783435292,1014.7569444444445
0.0,18,3,32915.23379391475,1217.5756861970385,34230.00130388472,1034.7222222222222
0.0,18,4,32906.02001955405,1217.5756861970385,34194.97436616155,1025.173611111111
0.0,18,5,32984.37768207561,1217.5756861970385,34219.89412109057,1030.8159722222224
0.0,59,0,22211.09498595651,584.1536247227921,22890.128299237105,699.4043706359598
0.0,59,1,22286.18539375417,584.1536247227921,22143.846052617453,738.4938260637826
0.0,59,2,22236.489999434532,584.1536247227921,22104.893049855764,739.7308341476415
0.0,59,3,22313.88674812922,584.1536247227921,21951.193213572755,747.4002842896863
0.0,59,4,21654.152285862703,787.555315674402,21602.065411303618,803.8078528915341
0.0,59,5,21263.04733641222,883.7452780023381,21204.668376754358,867.1426667887981
0.0,59,6,21217.164607319948,900.778917146069,20896.59762385811,886.1925912802257
0.0,59,7,21155.115282789888,950.877855804101,20598.654058648015,951.5066181264101
0.0,59,8,21025.319859619558,1023.0203273372914,20303.10806250227,1019.0472594866749
0.0,59,9,20838.517850581036,995.9669004619541,19982.778577143337,1049.725060021675
0.0,59,10,20868.667351645858,1045.0638603468253,19653.311832506257,1111.080660966332
0.0,59,11,20797.79917273425,1094.1608202316968,19350.097012072947,1167.4882295534333
0.0,59,12,20837.36978271107,1105.182586736464,19045.926568636285,1218.9477658567114
0.0,59,13,20939.48761846891,1122.2162256413044,18744.14928429883,1256.3054099745045
0.0,59,14,21020.558134610546,1139.2498650239256,18432.199984865038,1301.8273074605136
0.0,59,15,20993.192002648906,1144.2597586508384,18136.579347858955,1346.8544017129786
0.0,59,16,21205.382151334357,1084.1410322611998,17812.572875860544,1409.4470108078526
0.0,59,17,21299.360188579234,1099.1707140975,17482.229073361945,1456.9481212132891
0.0,59,18,21382.267718281244,1136.2439289134727,17130.973228971965,1484.1622990581857
0.0,59,19,21651.381136956756,1159.2894406961675,16827.363370650717,1560.8568002426932
0.0,59,20,21889.020402530132,1105.182586631949,16456.097978983493,1619.9857866290308
0.0,59,21,22233.135467380645,1071.1153084490022,16102.994600444106,1675.8985520342012
0.0,59,22,22463.319066013013,1041.055945254183,15754.07747292906,1750.3664386751354
0.0,59,23,22767.396906388924,1041.0559450152923,15406.826912440129,1791.4351071034903
0.0,59,24,23000.9064203995,1024.0223063194812,15039.653150781789,1847.842675727458
0.0,74,0,5810.846871703057,214.54653471350275,6249.532008695426,184.67369531095025
0.0,74,1,5801.186452534804,214.54653471350275,6081.433813405024,186.9146020151498
0.0,74,2,5813.607889522262,214.54653471350275,6074.122423472126,191.85608856345425
0.0,74,3,5834.200110476403,214.54653471350275,6071.440611058306,195.18871903304418
0.0,74,4,5831.844180244345,214.54653471350275,6069.260814709228,193.92461781931917
0.0,74,5,5793.342130912806,214.54653471350275,6070.070356466045,192.83289405178823
0.0,95,0,6186.705895820882,103.8865416213427,5215.387673141654,160.1929464480997
0.0,95,1,6234.8449470911055,103.8865416213427,5084.853259877845,166.10998320725562
0.0,95,2,6284.3345731644185,103.8865416213427,5079.35325552236,167.9380108243484
0.0,95,3,6368.8669182638605,103.8865416213427,5094.657280223097,166.9277850373887
0.0,95,4,6270.709349673306,103.8865416213427,5100.522434958729,166.92778503595503
0.0,95,5,6264.035385635537,103.8865416213427,5038.985106916591,168.9963426055326
0.001,127,0,9354.695025458272,278.3787330316742,9379.709942218495,263.9815180012447
0.001,127,1,9255.162363331132,278.3787330316742,8931.574023457131,274.7159648957695
0.001,127,2,9277.140278208633,278.3787330316742,8902.454390641122,281.3283841820085
0.001,127,3,9249.025170289553,278.3787330316742,8849.514643031798,279.52499710778227
0.001,127,4,9274.599519176396,278.3787330316742,8828.736353807428,281.5860109036075
0.001,127,5,9241.846786889124,278.3787330316742,8822.352879511629,281.5001353284615
0.001,130,0,9356.556221417019,378.6830357142857,10564.698005460876,292.8365027927073
0.001,130,1,9235.201927593778,378.6830357142857,10061.637291137307,300.8580967628568
0.001,130,2,9214.355561562947,378.6830357142857,9981.856421416232,308.00987934001483
0.001,130,3,9236.864751577377,378.6830357142857,9954.014016461117,307.2367136567957
0.001,130,4,9199.72202692713,378.6830357142857,9932.4607469019,309.0729821554313
0.001,130,5,9207.60494726045,378.6830357142857,9932.988318818036,305.4004451559999
0.001,131,0,10259.622170419178,337.4471417683802,10913.155070763169,306.3646694619696
0.001,131,1,10220.94886511494,337.4471417683802,10375.732475280285,319.23037737636855
0.001,131,2,10198.046349297301,337.4471417683802,10288.886277263662,323.0498844051011
0.001,131,3,10137.095045463686,337.4471417683802,10257.350653844254,323.2509110910998
0.001,131,4,10127.908419432264,337.4471417683802,10240.791211549733,326.26631138033093
0.001,131,5,10310.488416842398,337.4471417683802,11293.027541768499,324.35655786409245
0.001,132,0,10933.466629486275,277.25247548702527,10220.1830041297,294.9645210410317
0.001,132,1,10944.123290969988,138.62623762376236,9708.899835946013,307.2111973247074
0.001,132,2,10922.591225479302,277.25247548702527,9687.394837312677,310.0592615696518
0.001,132,3,10934.946301967006,277.25247548702527,9602.959352395535,311.38835822200804
0.001,132,4,10985.467873422229,277.25247548702527,9587.291335544325,312.05290654641783
0.001,132,5,10975.177766513507,277.25247548702527,9591.798325689444,313.8566805730493
0.001,135,0,6385.784458394219,236.7198934261591,6393.635209043753,177.15566428387504
0.001,135,1,6303.848111041609,236.7198934261591,6091.40770142318,183.19570944844264
0.001,135,2,6356.709936765695,236.7198934261591,6050.448402629043,186.10176891230714
0.001,135,3,6375.50543979415,236.7198934261591,6031.419507807415,186.10176891230714
0.001,135,4,6346.330834833527,236.7198934261591,6026.297691122786,187.92517877475046
0.001,135,5,6372.632633880863,236.7198934261591,6019.863424975324,187.18441851797368
0.001,18,0,33325.76892322303,1217.5756861970385,36930.7328330146,967.8819444444445
0.001,18,1,33060.40262340419,1217.5756861970385,35075.97731550535,996.9618055555557
0.001,18,2,33018.35296145316,1217.5756861970385,34738.680839538574,1021.7013888888888
0.001,18,3,32868.859323192526,1217.5756861970385,34569.28869750765,1034.7222222222222
0.001,18,4,32690.050809596,1217.5756861970385,34504.47276565763,1032.5520833333335
0.001,18,5,32783.09858752471,1217.5756861970385,34441.48911039034,1032.1180555555557
0.001,59,0,22697.131547939007,584.1536247227921,23793.502204992572,695.9407480011547
0.001,59,1,22389.043535673267,584.1536247227921,22534.680477427242,727.3607533164251
0.001,59,2,22337.70578521043,584.1536247227921,22413.028260299467,743.1944568045659
0.001,59,3,22360.14428639459,584.1536247227921,22332.625600818716,746.6580794393709
0.001,59,4,22348.195149680225,584.1536247227921,22254.36022572273,742.4522519358178
0.001,59,5,22328.48907423097,584.1536247227921,22209.06342804321,741.7100470891888
0.001,74,0,5907.748808872739,214.54653471350275,6476.926622852753,184.84607274901037
0.001,74,1,5882.728789933838,214.54653471350275,6173.523420246136,189.9024776047666
0.001,74,2,5867.910829254818,214.54653471350275,6133.874189451234,190.59198735101353
0.001,74,3,5822.375724475533,214.54653471350275,6108.7412536459715,192.25830258816305
0.001,74,4,5822.93826259229,214.54653471350275,6101.056363043938,191.7411702808325
0.001,74,5,5812.29358735541,214.54653471350275,6099.25638680918,191.85608856687904
0.001,95,0,6015.121185276618,103.8865416213427,5420.60158910488,158.41302481949677
0.001,95,1,6018.342660563651,103.8865416213427,5166.85144426735,163.0311998564531
0.001,95,2,5984.956541271092,103.8865416213427,5127.837669616574,165.0516514289388
0.001,95,3,6011.621127574842,103.8865416213427,5105.85322804669,167.60126889488393
0.001,95,4,6092.852717084691,103.8865416213427,5096.883420833436,165.67702929794422
0.001,95,5,6061.023955269785,103.8865416213427,5094.389989213105,166.54293711800074
0.005,127,0,9365.311343976706,278.3787330316742,9777.392391142113,268.6187990565673
0.005,127,1,9369.066230393966,278.3787330316742,8972.099884753197,277.1204809998564
0.005,127,2,9385.87934760055,278.3787330316742,8952.191046129821,282.1012643583222
0.005,127,3,9354.396429360939,278.3787330316742,8938.338526413556,281.24250860686254
0.005,127,4,9377.508538823537,278.3787330316742,8933.693753387884,282.78826895948987
0.005,127,5,9352.639911341992,278.3787330316742,8929.05704073843,279.6108726752503
0.005,130,0,9354.664405754635,378.6830357142857,11004.725422922129,291.7733999765707
0.005,130,1,9379.379613058909,378.6830357142857,10095.421099595053,304.3373423405834
0.005,130,2,9327.172008582524,378.6830357142857,10074.993636693403,302.8876566831974
0.005,130,3,9317.423657860074,236.04910714285714,10057.292559403932,310.1360849708478
0.005,130,4,9347.06017460142,378.6830357142857,10054.355403138667,304.9172166042579
0.005,130,5,9396.57018184662,236.04910714285714,10049.290955635519,307.4300050763404
0.005,131,0,10289.406059908511,337.4471417683802,11333.160010254995,305.86210275745714
0.005,131,1,10239.736846258793,337.4471417683802,10406.145671968236,318.32575728338355
0.005,131,2,10307.339668592254,337.4471417683802,10379.58229301459,323.5524511193489
0.005,131,3,10306.917018177179,337.4471417683802,10375.335658647744,324.5575845553333
0.005,131,4,10305.438245278183,337.4471417683802,10359.794454824178,323.75347781583196
0.005,131,5,10293.721568802881,337.4471417683802,10359.203875836187,325.6632313223349
0.005,132,0,10996.141062357245,277.25247548702527,10649.57444694866,296.10374673547284
0.005,132,1,10994.53497575848,277.25247548702527,9759.500949152534,309.01497135098526
0.005,132,2,11000.321978720105,277.25247548702527,9735.355091509082,310.1541970454265
0.005,132,3,11027.70645188813,277.25247548702527,9724.856612022832,304.17326211583577
0.005,132,4,11093.909348080264,277.25247548702527,9712.281924716826,312.5275839214005
0.005,132,5,11086.581919980124,277.25247548702527,9698.845140847403,310.43900347699406
0.005,135,0,6356.998129594033,236.7198934261591,6665.075173819833,182.11305984277607
0.005,135,1,6362.24803964979,236.7198934261591,6120.320180143213,187.35536319836217
0.005,135,2,6402.369184668193,236.7198934261591,6108.384351501422,187.24140007527288
0.005,135,3,6418.247719079434,236.7198934261591,6101.1460992810935,187.81121565675576
0.005,135,4,6446.947931735736,236.7198934261591,6092.340973165999,187.86819721575313
0.005,135,5,6408.389042548791,236.7198934261591,6089.1132984257565,189.3497177335522
0.005,18,0,33493.2652093564,1217.5756861970385,38936.109469996554,970.9201388888889
0.005,18,1,33284.57552126487,1217.5756861970385,35051.834868060214,1003.4722222222222
0.005,18,2,33170.773152510796,1217.5756861970385,34909.65391861068,999.5659722222223
0.005,18,3,33315.68017191567,1217.5756861970385,34871.879875659935,1013.4548611111112
0.005,18,4,33231.44280310865,1217.5756861970385,34836.63484123019,1025.173611111111
0.005,18,5,33167.022387935634,1217.5756861970385,34810.67823370297,1035.15625
0.005,59,0,22714.861336272912,584.1536247227921,24874.923275330984,700.3939770827707
0.005,59,1,22624.16098268239,605.19517906368,22583.200547562577,729.5873678618416
0.005,59,2,22604.641166220983,584.1536247227921,22514.265127355677,747.1528826544817
0.005,59,3,22642.272780344716,584.1536247227921,22484.22034621757,746.6580794209381
0.005,59,4,22667.839643661013,584.1536247227921,22479.76451327557,740.9678422351869
0.005,59,5,22522.327950811796,584.1536247227921,22447.519733570098,745.421071355512
0.005,59,6,22593.64198632153,584.1536247227921,22429.636862907653,749.874300437128
0.005,74,0,5924.2056460065805,214.54653471350275,6742.028690429378,185.8228782407692
0.005,74,1,5918.781882255227,214.54653471350275,6197.226951350271,191.91354771889254
0.005,74,2,5938.81109776135,214.54653471350275,6187.054531436251,192.4881391701027
0.005,74,3,5921.355723578387,214.54653471350275,6179.129390705995,193.98207696876398
0.005,74,4,5896.216351933998,214.54653471350275,6175.649710006693,192.31576173760794
0.005,74,5,5921.548109881398,214.54653471350275,6170.46851145775,192.94781233783482
0.005,95,0,6035.185536819632,103.8865416213427,5640.577317274229,161.53991416309012
0.005,95,1,6041.348240921755,103.8865416213427,5183.164502894812,164.1857436103159
0.005,95,2,6053.425261173636,103.8865416213427,5171.4231024704395,166.06187721733212
0.005,95,3,6066.803649191193,103.8865416213427,5165.743562150914,166.831573056108
0.005,95,4,6077.328202177474,103.8865416213427,5161.019363030606,165.72513528643407
0.005,95,5,6122.28751040699,103.8865416213427,5156.51826933026,166.4948311266436
